state,cx,cy,area,x,y,width,height,aspectratio,extent,solidity,angle,w,h
"",3488,986,0.4032,3428,969,3.2,0.6666666666666666,4.800000000000001,0.189,0.3575031525851198,100.53076171875,,
"",2709,927,0.3811555555555556,2652,904,3.04,0.88,3.4545454545454546,0.1424774056353003,0.3630206569590247,78.16006469726562,,
"",3589,931,1.7560888888888888,3556,900,2.053333333333333,3.28,0.6260162601626016,0.2607433217189315,0.4804474708171206,0.0,,
"",3136,918,0.4035555555555555,3078,893,3.1466666666666665,0.9866666666666668,3.189189189189189,0.1299816765918461,0.3431076178960097,109.52879333496094,,
"",3418,899,1.626311111111111,3399,862,1.36,3.6266666666666665,0.375,0.3297289504036908,0.5628153070013534,14.03504467010498,,
"",542,882,0.5162666666666667,465,862,3.92,0.8,4.9,0.164625850340136,0.3172383657417522,85.74996948242188,,
"",3244,865,1.6995555555555557,3226,825,1.36,3.9466666666666654,0.3445945945945946,0.316640169581346,0.5459113750571037,13.980087280273438,,
"",2627,863,1.6238222222222225,2608,825,1.36,3.9466666666666654,0.3445945945945946,0.3025304716481187,0.5296300591441494,10.141730308532717,,
d,503,809,0.1372444444444444,496,802,0.4533333333333333,0.4266666666666667,1.0624999999999998,0.7095588235294118,0.9846938775510204,90.0,,
"",2796,828,1.728711111111111,2777,787,1.36,3.973333333333333,0.3422818791946309,0.319910514541387,0.5477692654348806,12.822792053222656,,
"",447,811,1.6124444444444443,429,770,1.36,3.92,0.3469387755102041,0.302454315059357,0.5237930237930238,13.518871307373049,,
"",644,802,2.1941333333333333,624,750,1.36,3.9466666666666654,0.3445945945945946,0.4087837837837837,0.5876023614549609,11.309528350830078,,
e,2284,794,0.8579555555555556,2268,741,0.8533333333333334,2.72,0.3137254901960784,0.3696384803921568,0.524223332609168,2.853369951248169,,
m,2204,788,0.5852444444444445,2201,712,0.2133333333333333,4.1866666666666665,0.0509554140127388,0.6552547770700636,0.7830637488106565,0.0,,
"",454,678,0.3228444444444444,416,675,2.053333333333333,0.1866666666666666,10.999999999999998,0.8423005565862708,1.0,90.0,,
"",3187,661,0.4476444444444444,3118,654,3.733333333333333,0.8266666666666667,4.516129032258065,0.1450460829493087,0.2984826932195353,96.20899200439452,,
"",3256,754,1.6266666666666667,3226,646,1.36,3.9466666666666654,0.3445945945945946,0.303060413354531,0.5259225198298656,5.189209938049316,,
"",1646,761,2.772266666666667,1618,640,1.36,4.64,0.2931034482758621,0.4393171061528059,0.6640265712825754,5.153228759765625,,
f,2386,688,0.8579555555555556,2374,634,0.8533333333333334,2.293333333333333,0.3720930232558139,0.4384084302325581,0.705968402574605,176.36111450195312,,
"",3429,735,1.539911111111111,3399,628,1.36,3.92,0.3469387755102041,0.2888488728824863,0.5040148958454556,9.46038055419922,,
"",3070,769,3.131022222222222,3045,628,1.3866666666666667,7.706666666666667,0.1799307958477508,0.2929864253393665,0.4891406987724268,5.885097980499268,,
"",3523,634,0.3854222222222222,3467,626,3.04,0.7733333333333333,3.931034482758621,0.1639443436176648,0.3542483660130718,75.7916488647461,,
"",3776,781,3.369955555555556,3745,621,1.36,7.1466666666666665,0.1902985074626866,0.3467222709979514,0.4522378089512358,3.625434875488281,,
"",1996,759,3.115733333333333,1968,621,1.36,5.653333333333333,0.2405660377358491,0.4052441731409544,0.562127140932709,2.205739736557007,,
"",1461,759,3.0574222222222223,1433,621,1.36,5.626666666666667,0.2417061611374407,0.3995446519840163,0.552954793903929,2.2788572311401367,,
"",2743,623,0.4188444444444444,2681,616,3.333333333333333,0.7466666666666667,4.464285714285714,0.1682857142857143,0.3446459918080749,99.06578826904295,,
"",2808,714,1.7201777777777778,2777,609,1.36,3.9466666666666654,0.3445945945945946,0.3204822469528351,0.5536102528893466,18.17932510375977,,
"",2448,763,3.3198222222222222,2417,596,1.36,7.76,0.1752577319587629,0.3145677514992251,0.3880069813829787,3.427343845367432,,
"",3599,697,1.528888888888889,3569,590,1.36,3.92,0.3469387755102041,0.286781379218354,0.5007569581926168,12.75687313079834,,
"",2638,697,1.5363555555555557,2607,590,1.3866666666666667,3.92,0.3537414965986394,0.2826399790685505,0.4953571019144789,12.43937873840332,,
"",1270,747,3.320533333333333,1226,578,2.08,7.76,0.268041237113402,0.2057229711868887,0.2963256758471887,2.6683661937713623,,
"",1010,731,3.2128,968,578,2.053333333333333,6.773333333333333,0.3031496062992125,0.2310052152571838,0.3393675354916247,2.7407679557800293,,
"",762,702,2.988088888888889,720,578,2.053333333333333,5.253333333333333,0.3908629441624365,0.2770123277737492,0.4295864642437254,6.069665908813477,,
"",126,692,3.6540444444444447,84,553,2.053333333333333,6.453333333333333,0.3181818181818182,0.2757593646023398,0.3855995797688729,3.629141330718994,,
"",1638,426,1.5761777777777777,1605,395,2.053333333333333,3.2533333333333334,0.6311475409836065,0.2359484777517564,0.4326566464961936,34.73060607910156,,
"",3418,427,1.6963555555555556,3386,393,2.053333333333333,3.306666666666666,0.6209677419354839,0.2498428990364474,0.4560313515580195,25.45207023620605,,
"",3066,426,1.6312888888888888,3032,393,2.053333333333333,3.306666666666666,0.6209677419354839,0.2402597402597402,0.4414085049066769,30.55964469909668,,
"",1817,406,1.7475555555555555,1784,375,2.053333333333333,3.28,0.6260162601626016,0.2594762960616619,0.478112840466926,0.0,,
"",1643,378,0.3228444444444444,1605,375,2.053333333333333,0.1866666666666666,10.999999999999998,0.8423005565862708,1.0,90.0,,
"",2627,391,1.6608,2595,356,2.053333333333333,3.6266666666666665,0.5661764705882353,0.2230233002291826,0.4105651753537839,22.299814224243164,,
f,3707,386,0.8956444444444445,3696,334,0.8533333333333334,2.2666666666666666,0.3764705882352941,0.4630514705882353,0.7408823529411764,176.1842803955078,,
s,3195,377,1.5153777777777775,3176,324,1.0666666666666669,2.88,0.3703703703703704,0.493287037037037,0.6033408833522084,2.6724252700805664,,
d,2682,321,0.1400888888888889,2675,314,0.4533333333333333,0.4533333333333333,1.0,0.6816608996539794,0.9800995024875624,71.77653503417969,,
"",3126,266,0.0497777777777777,3118,262,0.4,0.2933333333333333,1.3636363636363638,0.4242424242424242,0.7777777777777777,70.375732421875,,
"",3191,266,0.5397333333333333,3139,260,3.1733333333333333,0.8266666666666667,3.838709677419355,0.2057468148549742,0.4529991047448522,93.6919174194336,,
"",3256,360,1.6426666666666667,3213,252,2.053333333333333,3.9466666666666654,0.5202702702702703,0.2027027027027027,0.375640295959021,23.556041717529297,,
n,61,302,1.2163555555555556,47,249,0.8,2.88,0.2777777777777778,0.5279320987654321,0.7085749792874897,149.6345977783203,,
"",3773,365,3.0268444444444444,3732,246,2.053333333333333,4.64,0.4425287356321839,0.317696671144947,0.5617288023754536,13.90656280517578,,
d,172,246,0.1408,164,239,0.4533333333333333,0.4533333333333333,1.0,0.685121107266436,0.9801980198019804,0.0,,
"",3429,345,1.8449777777777776,3386,234,2.053333333333333,3.9466666666666654,0.5202702702702703,0.2276676026676027,0.4257815705259702,3.298323631286621,,
"",3075,343,1.9153777777777776,3032,234,2.053333333333333,3.9466666666666654,0.5202702702702703,0.2363548613548613,0.4369018653690186,19.608976364135746,,
"",3523,240,0.3854222222222222,3467,232,3.04,0.7733333333333333,3.931034482758621,0.1639443436176648,0.3542483660130718,75.7916030883789,,
